,coddep,Median p/m2
0,01,3240.5361834248865
1,02,1508.6206896551723
2,03,1333.3333333333333
3,04,2432.4324324324325
4,05,2914.749505603164
5,06,4661.685185185185
6,07,2686.9924812030076
7,08,1572.7272727272727
8,09,1942.3076923076924
9,10,1830.9859154929577
10,11,2469.156942330458
11,12,2195.0
12,14,2756.7567567567567
13,15,1800.0
14,16,1740.7407407407406
15,17,3650.0
16,18,1410.7142857142858
17,19,1845.383275261324
18,21,2537.313432835821
19,22,2134.1463414634145
20,23,4853.846153846154
21,24,2000.0
22,25,2285.7386363636365
23,27,1985.7906843013225
24,28,2132.5301204819275
25,29,2085.0
26,2A,5513.653308480894
27,2B,4380.952380952381
28,30,2775.0
29,31,3169.3125562556256
30,32,2000.0
31,33,3870.967741935484
32,34,3500.0
33,35,3160.919540229885
34,36,1443.298969072165
35,37,2672.5396825396824
36,38,2824.212158808933
37,39,2057.9710144927535
38,40,3342.8571428571427
39,41,1838.235294117647
40,42,1771.5976331360946
41,43,inf
42,44,3535.3535353535353
43,45,2097.902097902098
44,46,2285.714285714286
45,47,1651.4150943396226
46,48,inf
47,49,2366.97247706422
48,50,2380.0
49,51,2559.5238095238096
50,52,1470.2941176470588
51,53,1712.5
52,54,2004.5761866773037
53,55,1580.0
54,56,3000.0
55,58,1257.389341875364
56,59,2196.4903846153848
57,60,2418.068117580554
58,61,1484.3283582089553
59,62,1855.6723711340205
60,63,2402.9850746268658
61,64,3260.8695652173915
62,65,1886.7924528301887
63,66,2621.847446670976
64,69,3763.6363636363635
65,70,1909.090909090909
66,71,1719.1666666666667
67,72,1753.2467532467533
68,73,4037.878787878788
69,74,4594.554244402985
70,75,9909.09090909091
71,76,2148.936170212766
72,77,3318.840579710145
73,78,4117.64705882353
74,79,1689.655172413793
75,80,2093.0232558139537
76,81,1934.2857142857142
77,82,1979.1872937293729
78,83,4034.150717703349
79,84,2887.323943661972
80,85,3142.8571428571427
81,86,1922.3969326016604
82,87,1721.311475409836
83,88,1908.7142857142858
84,89,1653.8461538461538
85,90,1611.111111111111
86,91,3333.3333333333335
87,92,6875.078947368422
88,93,4091.6666666666665
89,94,4933.333333333333
90,95,3521.7391304347825
91,971,3379.655172413793
92,972,2954.5454545454545
93,973,3902.439024390244
94,974,3092.574074074074
