,coddep,Number_transactions
0,01,103817
1,02,73827
2,03,61903
3,04,34237
4,05,40913
5,06,304541
6,07,51568
7,08,36681
8,09,30332
9,10,50042
10,11,88941
11,12,46908
12,13,339653
13,14,147099
14,15,23290
15,16,62288
16,17,155392
17,18,53287
18,19,40235
19,21,104873
20,22,119235
21,23,23033
22,24,77434
23,25,88578
24,26,87691
25,27,91510
26,28,69498
27,29,178186
28,2A,25559
29,2B,25757
30,30,133031
31,31,257313
32,32,31997
33,33,308244
34,34,271642
35,35,191526
36,36,36925
37,37,105209
38,38,222415
39,39,41277
40,40,86747
41,41,54875
42,42,124305
43,43,35963
44,44,269584
45,45,111033
46,46,30778
47,47,60374
48,48,10645
49,49,125463
50,50,84676
51,51,87336
52,52,24872
53,53,52015
54,54,120478
55,55,27077
56,56,150514
57,58,40670
58,59,405363
59,60,119780
60,61,46358
61,62,202808
62,63,112298
63,64,133036
64,65,46248
65,66,126244
66,69,325586
67,70,33124
68,71,88083
69,72,93638
70,73,110252
71,74,187882
72,75,390787
73,76,207638
74,77,233496
75,78,224340
76,79,66134
77,80,89921
78,81,60125
79,82,41477
80,83,268225
81,84,94422
82,85,147873
83,86,74243
84,87,65178
85,88,58454
86,89,58843
87,90,19852
88,91,192289
89,92,265184
90,93,197495
91,94,205193
92,95,179120
93,971,25211
94,972,23011
95,973,10108
96,974,62188
